graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                ' {'entity_id': 'location:london', 'chunk_id': 'doc_4aa855901188fa80:0'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,193 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,196 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 2, 'fields': ['r'], 'qid': 0}
graphrag-fastapi  | 2026-08-24 02:07:44,199 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,199 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'properties-set': 1}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (c))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 2, 'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,199 - neo4j.notifications - INFO - Received notification from DBMS server: <GqlStatusObject gql_status='03N90', status_description="info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", position=<SummaryInputPosition line=2, column=17, offset=17>, raw_classification='PERFORMANCE', classification=<NotificationClassification.PERFORMANCE: 'PERFORMANCE'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                '
graphrag-fastapi  | 2026-08-24 02:07:44,200 - neo4j.io - DEBUG - [#9D48]  C: COMMIT
graphrag-fastapi  | 2026-08-24 02:07:44,200 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,203 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'bookmark': 'FB:kcwQiwgsDfVyQueUVUGaJNSbh8kF/5A='}
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: TX_READY_OR_TX_STREAMING > READY
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> released bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,204 - stages.graph_indexing.neo4j_client - INFO - Batch executed: 1 queries
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> routing towards fixed database: None
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j - DEBUG - [#0000]  _: <WORKSPACE> pinning database: None
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.pool - DEBUG - [#0000]  _: <POOL> acquire direct connection, access_mode='WRITE', database=AcquisitionDatabase(name=None, guessed=False)
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> picked existing connection bolt-2
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> checked re_auth auth=None updated=False force=False
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.pool - DEBUG - [#9D48]  _: <POOL> handing out existing connection
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.io - DEBUG - [#9D48]  C: BEGIN {}
graphrag-fastapi  | 2026-08-24 02:07:44,204 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> client state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,206 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'db': 'neo4j'}
graphrag-fastapi  | 2026-08-24 02:07:44,206 - neo4j.io - DEBUG - [#9D48]  _: <CONNECTION> server state: READY > TX_READY_OR_TX_STREAMING
graphrag-fastapi  | 2026-08-24 02:07:44,206 - neo4j.io - DEBUG - [#9D48]  C: RUN '\n                MATCH (e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})\n                MERGE (e)-[r:MENTIONED_IN]->(c)\n                ON CREATE SET r.chunk_count = 1\n                ON MATCH SET r.chunk_count = r.chunk_count + 1\n                RETURN r\n                ' {'entity_id': 'product:distributed system for processing financial transactions', 'chunk_id': 'doc_4aa855901188fa80:0'} {}
graphrag-fastapi  | 2026-08-24 02:07:44,206 - neo4j.io - DEBUG - [#9D48]  C: PULL {'n': 1000}
graphrag-fastapi  | 2026-08-24 02:07:44,210 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'t_first': 2, 'fields': ['r'], 'qid': 0}
graphrag-fastapi  | 2026-08-24 02:07:44,218 - neo4j.io - DEBUG - [#9D48]  S: RECORD * 1
graphrag-fastapi  | 2026-08-24 02:07:44,218 - neo4j.io - DEBUG - [#9D48]  S: SUCCESS {'stats': {'contains-updates': True, 'relationships-created': 1, 'properties-set': 1}, 'statuses': [{'gql_status': '00000', 'status_description': 'note: successful completion'}, {'gql_status': '03N90', 'neo4j_code': 'Neo.ClientNotification.Statement.CartesianProduct', 'status_description': "info: cartesian product. The disconnected pattern '(e:Entity {id: $entity_id}), (c:Chunk {id: $chunk_id})' builds a cartesian product. A cartesian product may produce a large amount of data and slow down query processing.", 'diagnostic_record': {'_classification': 'PERFORMANCE', '_severity': 'INFORMATION', '_position': {'offset': 17, 'line': 2, 'column': 17}}, 'description': 'If a part of a query contains multiple disconnected patterns, this will build a cartesian product between all those parts. This may produce a large amount of data and slow down query processing. While occasionally intended, it may often be possible to reformulate the query that avoids the use of this cross product, perhaps by adding a relationship between the different parts or by using OPTIONAL MATCH (identifier is: (c))', 'title': 'This query builds a cartesian product between disconnected patterns.'}], 'type': 'rw', 't_last': 6, 'db': 'neo4j'}
